,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' Thank you.'     
,Start,End,Speaker,Text
0,0:00:00,0:00:04,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' I'm going to get my books.'     SPEAKER ShuoChen say: ' I'm going to get my books.'     SPEAKER ShuoChen say: ' I'm going to get my books.'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER unknown,SPEAKER unknown say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:03,SPEAKER unknown,SPEAKER unknown say: ' I have no idea what else I'm supposed to do.'     
,Start,End,Speaker,Text
0,0:00:00,0:00:03,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' Thanks for watching!'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER unknown,SPEAKER unknown say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER unknown,SPEAKER unknown say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER unknown,SPEAKER unknown say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER unknown,SPEAKER unknown say: ' Thank you very much.'     
,Start,End,Speaker,Text
0,0:00:00,0:00:03,SPEAKER unknown,"SPEAKER unknown say: ' I don't think they should have done so, as it was a long time ago.'     "
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,"SPEAKER ShuoChen say: ' Like, comment, share, and subscribe!'     "
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER ShuoChen,SPEAKER ShuoChen say: ' you'     
,Start,End,Speaker,Text
0,0:00:00,0:00:02,SPEAKER unknown,SPEAKER unknown say: ' You'     SPEAKER unknown say: ' You'     
,Start,End,Speaker,Text
0,0:00:00,0:00:05,SPEAKER unknown,SPEAKER unknown say: ' .'     SPEAKER unknown say: ' .'     
